"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6656,"; _ZN12_GLOBAL__N_117gemm_naive_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_naive_kernel(float const*, float const*, float*)"
2,6656,"s_load_b32 s2, s[0:1], 0x24",510,525,15,65732,""
2,6664,"v_bfe_u32 v1, v0, 10, 10",510,158864,158354,51,""
2,6672,"v_and_b32_e32 v4, 0x3ff, v0",510,510,0,35874,""
2,6680,"s_waitcnt lgkmcnt(0)",510,63622,63112,0,""
2,6684,"s_lshr_b32 s3, s2, 16",510,555,45,0,""
2,6688,"s_and_b32 s2, s2, 0xffff",510,510,0,41,""
2,6696,"v_mad_u64_u32 v[2:3], null, s15, s3, v[1:2]",510,2040,0,116118,""
2,6704,"v_mad_u64_u32 v[0:1], null, s14, s2, v[4:5]",510,2040,0,74422,""
2,6712,"s_mov_b32 s2, exec_lo",510,545,35,9147,""
2,6716,"v_max_i32_e32 v1, v2, v0",510,510,0,112900,""
2,6720,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6724,"v_cmpx_gt_i32_e32 0x400, v1",510,510,0,79105,""
2,6732,"s_cbranch_execz 159",510,510,0,9061,""
2,6736,"s_load_b128 s[4:7], s[0:1], null",510,525,15,1020,""
2,6744,"v_dual_mov_b32 v4, 0 :: v_dual_lshlrev_b32 v1, 10, v2",510,135117,134607,0,""
2,6752,"s_load_b64 s[0:1], s[0:1], 0x10",510,617,107,0,""
2,6760,"s_mov_b32 s2, 0",510,512,2,56,""
2,6764,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6768,"v_ashrrev_i32_e32 v2, 31, v1",510,510,0,90422,""
2,6772,"v_lshlrev_b64 v[2:3], 2, v[1:2]",510,1020,0,114369,""
2,6780,"s_waitcnt lgkmcnt(0)",510,2914,2404,0,""
2,6784,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6788,"v_add_co_u32 v2, vcc_lo, s4, v2",510,510,0,122741,""
2,6796,"v_add_co_ci_u32_e64 v3, null, s5, v3, vcc_lo",510,92416,91906,2287,""
2,6804,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6808,"v_add_co_u32 v2, vcc_lo, v2, 28",510,510,0,50317,""
2,6816,"v_add_co_ci_u32_e64 v3, null, 0, v3, vcc_lo",510,510,0,108529,""
2,6824,"s_clause 0x1",65280,1984742,1919462,0,""
2,6828,"global_load_b128 v[5:8], v[2:3], off offset:-12",65280,136889,6329,21167,""
2,6836,"global_load_b128 v[9:12], v[2:3], off offset:-28",65280,130560,0,221,""
2,6844,"v_add_nc_u32_e32 v13, s2, v0",65280,65280,0,1898023,""
2,6848,"s_addk_i32 s2, 0x2000",65280,65280,0,405549,""
2,6852,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6856,"s_cmp_eq_u32 s2, 0x100000",65280,65481,201,65280,""
2,6864,"v_ashrrev_i32_e32 v14, 31, v13",65280,919638,854358,1,""
2,6868,"v_add_nc_u32_e32 v15, 0x400, v13",65280,222439,157159,0,""
2,6876,"v_add_nc_u32_e32 v17, 0x800, v13",65280,240627,175347,0,""
2,6884,"v_add_nc_u32_e32 v19, 0xc00, v13",65280,255631,190351,0,""
2,6892,"v_add_nc_u32_e32 v21, 0x1000, v13",65280,253087,187807,0,""
2,6900,"v_add_nc_u32_e32 v23, 0x1400, v13",65280,240191,174911,5,""
2,6908,"v_add_nc_u32_e32 v25, 0x1800, v13",65280,247669,182389,381,""
2,6916,"v_add_nc_u32_e32 v27, 0x1c00, v13",65280,237803,172523,28,""
