"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,5888,"; _ZN12_GLOBAL__N_117gemm_tiled_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_tiled_kernel(float const*, float const*, float*)"
2,5888,"v_bfe_u32 v20, v0, 10, 10",512,512,0,54724,""
2,5896,"s_clause 0x1",512,1536,1024,0,""
2,5900,"s_load_b128 s[4:7], s[0:1], null",512,23863,23351,0,""
2,5908,"s_load_b64 s[2:3], s[0:1], 0x10",512,528,16,0,""
2,5916,"v_and_b32_e32 v21, 0x3ff, v0",512,7316,6804,0,""
2,5924,"s_lshl_b32 s8, s14, 3",512,651,139,0,""
2,5928,"v_lshl_add_u32 v2, s15, 3, v20",512,1786,1274,0,""
2,5936,"v_dual_mov_b32 v27, 0 :: v_dual_lshlrev_b32 v24, 5, v20",512,1247,735,85,""
2,5944,"s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_1) | instid1(VALU_DEP_4)",0,0,0,0,""
2,5948,"v_lshlrev_b32_e32 v3, 2, v21",512,1326,814,174,""
2,5952,"v_add_nc_u32_e32 v23, s8, v21",512,1295,783,65,""
2,5956,"v_lshlrev_b32_e32 v22, 10, v2",512,1220,708,60,""
2,5960,"v_lshl_or_b32 v4, v20, 10, v21",512,1191,679,0,""
2,5968,"v_sub_nc_u32_e32 v25, 0x400, v21",512,1192,680,0,""
2,5976,"v_add_nc_u32_e32 v28, 0x100, v3",512,1169,657,0,""
2,5984,"v_add_nc_u32_e32 v26, v24, v3",512,1131,619,0,""
2,5988,"v_ashrrev_i32_e32 v1, 31, v22",512,1132,620,0,""
2,5992,"v_or_b32_e32 v0, v22, v21",512,1218,706,0,""
2,5996,"v_cmp_gt_i32_e64 s0, 0x400, v23",512,1289,777,0,""
2,6008,"v_add_nc_u32_e32 v8, s8, v4",512,1061,549,0,""
2,6012,"v_lshl_add_u32 v29, s15, 13, v4",512,1135,623,0,""
2,6020,"v_add_nc_u32_e32 v30, v28, v24",512,1198,686,0,""
2,6024,"v_lshlrev_b64 v[0:1], 2, v[0:1]",512,1024,0,474,""
2,6032,"s_mov_b32 s8, 8",512,512,0,8753,""
2,6036,"v_cmp_gt_i32_e32 vcc_lo, 0x400, v2",512,512,0,4138,""
2,6044,"s_waitcnt lgkmcnt(0)",512,33518,33006,0,""
2,6048,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6052,"v_add_co_u32 v0, s1, s4, v0",512,512,0,1144,""
2,6060,"v_add_co_ci_u32_e64 v1, null, s5, v1, s1",512,1233,721,2082,""
2,6068,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6072,"v_add_co_u32 v10, s1, v0, 32",512,512,0,488,""
2,6080,"v_add_co_ci_u32_e64 v11, null, 0, v1, s1",512,949,437,2108,""
2,6088,"s_branch 56",512,512,0,27,""
2,6092,"s_or_b32 exec_lo, exec_lo, s9",32768,32768,0,916333,""
2,6096,"v_dual_fmac_f32 v27, v4, v18 :: v_dual_add_nc_u32 v8, 0x4000, v8",32768,32768,0,287162,""
2,6108,"s_waitcnt vmcnt(0)",32768,10705170,10672402,0,""
2,6112,"ds_store_b32 v30, v9",32768,65536,0,58146,""
2,6120,"s_waitcnt lgkmcnt(0)",32768,1982187,1949419,0,""
2,6124,"s_barrier",32768,744271,32302,0,""
2,6128,"v_fmac_f32_e32 v27, v5, v19",32768,32768,0,0,""
2,6132,"buffer_gl0_inv",32768,32768,0,594720,""
2,6140,"v_add_co_u32 v10, s1, v10, 64",32768,32768,0,302817,""
2,6148,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
2,6152,"v_add_co_ci_u32_e64 v11, null, 0, v11, s1",32768,56352,23584,135147,""
2,6160,"v_fmac_f32_e32 v27, v6, v16",32768,33951,1183,20057,""
2,6164,"s_add_i32 s8, s8, 16",32768,32768,0,517104,""
2,6168,"s_cmpk_eq_i32 s8, 0x408",32768,34414,1646,32781,""
2,6172,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6176,"v_fmac_f32_e32 v27, v7, v17",32768,32768,0,24563,""
2,6180,"ds_load_b128 v[4:7], v24",32768,152062,119294,582862,""
2,6188,"ds_load_2addr_b32 v[16:17], v28 offset1:8",32768,32768,0,42215,""
2,6196,"v_fmac_f32_e32 v27, v0, v14",32768,32768,0,782057,""
2,6200,"v_fmac_f32_e32 v27, v1, v15",32768,32768,0,144543,""
2,6204,"ds_load_2addr_b32 v[14:15], v28 offset0:16 offset1:24",32768,32768,0,622513,""
2,6212,"v_fmac_f32_e32 v27, v2, v12",32768,32768,0,766582,""
2,6216,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_4) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6220,"v_fmac_f32_e32 v27, v3, v13",32768,32768,0,141287,""
2,6224,"ds_load_b128 v[0:3], v24 offset:16",32768,68664,35896,568616,""
2,6232,"ds_load_2addr_b32 v[12:13], v28 offset0:32 offset1:40",32768,32768,0,24229,""
2,6240,"s_waitcnt lgkmcnt(3)",32768,155896,123128,0,""
2,6244,"v_fmac_f32_e32 v27, v4, v16",32768,32768,0,641890,""
2,6248,"v_fmac_f32_e32 v27, v5, v17",32768,32768,0,140341,""
2,6252,"ds_load_2addr_b32 v[4:5], v28 offset0:48 offset1:56",32768,32768,0,619440,""
2,6260,"s_waitcnt lgkmcnt(0)",32768,2533464,2500696,0,""
2,6264,"s_barrier",32768,637466,37389,0,""
2,6268,"buffer_gl0_inv",32768,32768,0,0,""
2,6276,"v_fmac_f32_e32 v27, v6, v14",32768,32768,0,270907,""
2,6280,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6284,"v_fmac_f32_e32 v27, v7, v15",32768,32768,0,153550,""
2,6288,"v_fmac_f32_e32 v27, v0, v12",32768,32768,0,154913,""
2,6292,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6296,"v_fmac_f32_e32 v27, v1, v13",32768,32768,0,159499,""
2,6300,"v_fmac_f32_e32 v27, v2, v4",32768,32768,0,163066,""
2,6304,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6308,"v_fmac_f32_e32 v27, v3, v5",32768,51379,18611,139612,""
2,6312,"s_cbranch_scc1 107",32768,32768,0,1184,""
2,6316,"v_add3_u32 v0, v21, s8, -8",32768,32768,0,98293,""
2,6324,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
2,6328,"v_cmp_gt_u32_e64 s1, 0x400, v0",32768,46115,13347,139928,""
2,6340,"v_mov_b32_e32 v0, 0",32768,33246,478,10254,""
2,6344,"s_and_b32 s1, vcc_lo, s1",32768,32768,0,552626,""
2,6348,"s_and_saveexec_b32 s9, s1",32768,32768,0,33891,""
2,6352,"s_cbranch_execz 13",32768,32768,0,265262,""
2,6356,"v_add3_u32 v0, v29, s8, -8",32768,32768,0,82584,""
2,6364,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6368,"v_ashrrev_i32_e32 v1, 31, v0",32768,32768,0,143418,""
2,6372,"v_lshlrev_b64 v[0:1], 2, v[0:1]",32768,65536,0,142218,""
2,6380,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6384,"v_add_co_u32 v0, s1, s4, v0",32768,32768,0,139528,""
2,6392,"v_add_co_ci_u32_e64 v1, null, s5, v1, s1",32768,32768,0,142898,""
2,6400,"global_load_b32 v0, v[0:1], off",32768,71023,5487,548681,""
2,6408,"s_or_b32 exec_lo, exec_lo, s9",32768,32768,0,56,""
2,6412,"v_dual_mov_b32 v32, 0 :: v_dual_add_nc_u32 v31, s8, v20",32768,32768,0,288951,""
2,6420,"s_waitcnt vmcnt(0)",32768,13662019,13629251,0,""
2,6424,"ds_store_b32 v26, v0",32768,65536,0,203990,""
2,6432,"v_add_nc_u32_e32 v1, -8, v31",32768,32768,0,800109,""
2,6436,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
2,6440,"v_cmp_gt_u32_e64 s1, 0x400, v1",32768,47535,14767,132283,""
2,6452,"v_mov_b32_e32 v1, 0",32768,33862,1094,12117,""
2,6456,"s_and_b32 s1, s0, s1",32768,32768,0,513626,""
2,6460,"s_and_saveexec_b32 s9, s1",32768,32768,0,34439,""
2,6464,"s_cbranch_execz 11",32768,32768,0,268036,""
2,6468,"v_ashrrev_i32_e32 v9, 31, v8",32768,32768,0,90809,""
2,6472,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6476,"v_lshlrev_b64 v[0:1], 2, v[8:9]",32768,65536,0,144507,""
2,6484,"v_add_co_u32 v0, s1, s6, v0",32768,32768,0,140712,""
2,6492,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6496,"v_add_co_ci_u32_e64 v1, null, s7, v1, s1",32768,32768,0,146706,""
2,6504,"global_load_b32 v1, v[0:1], off",32768,71916,6380,561404,""
