"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6656,"; _ZN12_GLOBAL__N_117gemm_naive_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_naive_kernel(float const*, float const*, float*)"
2,6656,"s_load_b32 s2, s[0:1], 0x24",514,536,22,53790,""
2,6664,"v_bfe_u32 v1, v0, 10, 10",514,210076,209562,36,""
2,6672,"v_and_b32_e32 v4, 0x3ff, v0",514,514,0,54085,""
2,6680,"s_waitcnt lgkmcnt(0)",514,59358,58844,0,""
2,6684,"s_lshr_b32 s3, s2, 16",514,559,45,0,""
2,6688,"s_and_b32 s2, s2, 0xffff",514,514,0,37,""
2,6696,"v_mad_u64_u32 v[2:3], null, s15, s3, v[1:2]",514,2056,0,147812,""
2,6704,"v_mad_u64_u32 v[0:1], null, s14, s2, v[4:5]",514,2056,0,104326,""
2,6712,"s_mov_b32 s2, exec_lo",514,535,21,9306,""
2,6716,"v_max_i32_e32 v1, v2, v0",514,514,0,166608,""
2,6720,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6724,"v_cmpx_gt_i32_e32 0x400, v1",514,514,0,106445,""
2,6732,"s_cbranch_execz 159",514,514,0,9279,""
2,6736,"s_load_b128 s[4:7], s[0:1], null",514,529,15,1028,""
2,6744,"v_dual_mov_b32 v4, 0 :: v_dual_lshlrev_b32 v1, 10, v2",514,208239,207725,0,""
2,6752,"s_load_b64 s[0:1], s[0:1], 0x10",514,646,132,0,""
2,6760,"s_mov_b32 s2, 0",514,523,9,76,""
2,6764,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6768,"v_ashrrev_i32_e32 v2, 31, v1",514,514,0,173070,""
2,6772,"v_lshlrev_b64 v[2:3], 2, v[1:2]",514,1028,0,140391,""
2,6780,"s_waitcnt lgkmcnt(0)",514,2563,2049,0,""
2,6784,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6788,"v_add_co_u32 v2, vcc_lo, s4, v2",514,514,0,139484,""
2,6796,"v_add_co_ci_u32_e64 v3, null, s5, v3, vcc_lo",514,142838,142324,2296,""
