"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,5888,"; _ZN12_GLOBAL__N_117gemm_tiled_kernelEPKfS1_Pf",0,0,0,0,"(anonymous namespace)::gemm_tiled_kernel(float const*, float const*, float*)"
2,5888,"v_bfe_u32 v20, v0, 10, 10",512,512,0,40189,""
2,5896,"s_clause 0x1",512,1536,1024,0,""
2,5900,"s_load_b128 s[4:7], s[0:1], null",512,17463,16951,1,""
2,5908,"s_load_b64 s[2:3], s[0:1], 0x10",512,525,13,0,""
2,5916,"v_and_b32_e32 v21, 0x3ff, v0",512,6192,5680,0,""
2,5924,"s_lshl_b32 s8, s14, 3",512,640,128,0,""
2,5928,"v_lshl_add_u32 v2, s15, 3, v20",512,1980,1468,0,""
2,5936,"v_dual_mov_b32 v27, 0 :: v_dual_lshlrev_b32 v24, 5, v20",512,1129,617,84,""
2,5944,"s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_1) | instid1(VALU_DEP_4)",0,0,0,0,""
2,5948,"v_lshlrev_b32_e32 v3, 2, v21",512,1062,550,227,""
2,5952,"v_add_nc_u32_e32 v23, s8, v21",512,1197,685,52,""
2,5956,"v_lshlrev_b32_e32 v22, 10, v2",512,1160,648,53,""
2,5960,"v_lshl_or_b32 v4, v20, 10, v21",512,1133,621,0,""
2,5968,"v_sub_nc_u32_e32 v25, 0x400, v21",512,1163,651,0,""
2,5976,"v_add_nc_u32_e32 v28, 0x100, v3",512,978,466,0,""
2,5984,"v_add_nc_u32_e32 v26, v24, v3",512,1177,665,0,""
2,5988,"v_ashrrev_i32_e32 v1, 31, v22",512,1126,614,0,""
2,5992,"v_or_b32_e32 v0, v22, v21",512,1152,640,0,""
2,5996,"v_cmp_gt_i32_e64 s0, 0x400, v23",512,1073,561,0,""
2,6008,"v_add_nc_u32_e32 v8, s8, v4",512,946,434,0,""
2,6012,"v_lshl_add_u32 v29, s15, 13, v4",512,979,467,1,""
2,6020,"v_add_nc_u32_e32 v30, v28, v24",512,997,485,0,""
2,6024,"v_lshlrev_b64 v[0:1], 2, v[0:1]",512,1024,0,405,""
2,6032,"s_mov_b32 s8, 8",512,512,0,10547,""
2,6036,"v_cmp_gt_i32_e32 vcc_lo, 0x400, v2",512,512,0,4276,""
2,6044,"s_waitcnt lgkmcnt(0)",512,22175,21663,0,""
2,6048,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6052,"v_add_co_u32 v0, s1, s4, v0",512,512,0,991,""
2,6060,"v_add_co_ci_u32_e64 v1, null, s5, v1, s1",512,1097,585,2089,""
2,6068,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6072,"v_add_co_u32 v10, s1, v0, 32",512,512,0,476,""
2,6080,"v_add_co_ci_u32_e64 v11, null, 0, v1, s1",512,906,394,2090,""
2,6088,"s_branch 56",512,512,0,32,""
2,6092,"s_or_b32 exec_lo, exec_lo, s9",32768,32768,0,889697,""
2,6096,"v_dual_fmac_f32 v27, v4, v18 :: v_dual_add_nc_u32 v8, 0x4000, v8",32768,32768,0,288243,""
2,6108,"s_waitcnt vmcnt(0)",32768,8328537,8295769,0,""
2,6112,"ds_store_b32 v30, v9",32768,65536,0,78838,""
