Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,446
design__inferred_latch__count,0
design__instance__count,19546
design__instance__area,80146.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001607587095350027
power__switching__total,0.0008742599165998399
power__leakage__total,7.901152798694966E-8
power__total,0.0024819259997457266
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27122463376239386
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2783095221944136
timing__hold__ws__corner:nom_tt_025C_1v80,0.7218036928017245
timing__setup__ws__corner:nom_tt_025C_1v80,14.531250392047516
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.721804
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,7
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28455813510948297
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29235112380663514
timing__hold__ws__corner:nom_ss_100C_1v60,1.7012256529471592
timing__setup__ws__corner:nom_ss_100C_1v60,8.667687257714634
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.701226
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2661060058737461
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2712093681953735
timing__hold__ws__corner:nom_ff_n40C_1v95,0.3917035140447102
timing__setup__ws__corner:nom_ff_n40C_1v95,16.60917850266215
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.391704
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2636405612888091
clock__skew__worst_setup,0.26799169197882716
timing__hold__ws,0.3906503564537655
timing__setup__ws,8.57060757733897
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.390650
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,5.52 10.88 294.4 288.32
design__io,113
design__die__area,90000
design__core__area,80146.9
design__instance__count__stdcell,2663
design__instance__area__stdcell,19890.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.248173
design__instance__utilization__stdcell,0.248173
design__rows,102
design__rows:unithd,102
design__sites,64056
design__sites:unithd,64056
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,9
design__instance__area__class:inverter,33.7824
design__instance__count__class:sequential_cell,189
design__instance__area__class:sequential_cell,4020.11
design__instance__count__class:multi_input_combinational_cell,900
design__instance__area__class:multi_input_combinational_cell,9177.55
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,16883
design__instance__area__class:fill_cell,60256.5
design__instance__count__class:tap_cell,1144
design__instance__area__class:tap_cell,1431.37
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,111
design__io__hpwl,11680746
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,859.07
design__instance__displacement__mean,0.299
design__instance__displacement__max,12.186
route__wirelength__estimated,39138.5
design__violations,0
design__instance__count__class:timing_repair_buffer,334
design__instance__area__class:timing_repair_buffer,3343.21
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,84
design__instance__area__class:clock_buffer,1869.29
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,128
global_route__vias,10082
global_route__wirelength,61575
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1563
route__net__special,2
route__drc_errors__iter:0,264
route__wirelength__iter:0,40301
route__drc_errors__iter:1,100
route__wirelength__iter:1,40060
route__drc_errors__iter:2,38
route__wirelength__iter:2,39945
route__drc_errors__iter:3,0
route__wirelength__iter:3,39941
route__drc_errors,0
route__wirelength,39941
route__vias,9587
route__vias__singlecut,9587
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,651.34
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
