series,ai_flop_per_byte,perf_gflops,label
accel_roof,0.1,0.32,
cpu_roof,0.1,8.95,
accel_roof,0.177828,0.569049,
cpu_roof,0.177828,15.9156,
accel_roof,0.316228,1.01193,
cpu_roof,0.316228,28.3024,
accel_roof,0.562341,1.79949,
cpu_roof,0.562341,50.3295,
accel_roof,1,3.2,
cpu_roof,1,89.5,
accel_roof,1.77828,5.69049,
cpu_roof,1.77828,159.156,
accel_roof,3.16228,10.1193,
cpu_roof,3.16228,283.024,
accel_roof,5.62341,17.9949,
cpu_roof,5.62341,503.295,
accel_roof,10,32,
cpu_roof,10,895,
accel_roof,17.7828,51.2,
cpu_roof,17.7828,1020,
accel_roof,31.6228,51.2,
cpu_roof,31.6228,1020,
accel_roof,56.2341,51.2,
cpu_roof,56.2341,1020,
accel_roof,100,51.2,
cpu_roof,100,1020,
accel_roof,177.828,51.2,
cpu_roof,177.828,1020,
accel_roof,316.228,51.2,
cpu_roof,316.228,1020,
accel_roof,562.341,51.2,
cpu_roof,562.341,1020,
accel_roof,1000,51.2,
cpu_roof,1000,1020,
accel_baseline,0.91879,0.114626,B=1 reload pathology (M3)
accel_streaming,8.24286,3.1368,B=32 streaming (M4 design point)
accel_stream_bw_ceiling,8.24286,26.3771,pin-BW ceiling at streaming AI
accel_ideal_reuse,144.17,51.2,if perfect reuse -> compute bound
cpu_baseline,144.17,380.285,measured CPU conv effective rate
accel_ridge,16,51.2,accel ridge point AI*=peak/pin_bw
